Name	Country	Gender	Date of Birth	Time in Space (days)	Time in Space (s)	EVA Time (s)	Number of Launches	Number of EVAs	First Launch	Time dilation (s)	Age at first launch (yr)	Qualifications	Missions	Longest single trip (days)	Total distance covered (km)	EVA (hh:mm)	Type	Filename	In space as of	Twitter
AL-BASSAM, Abdulmohsen Hamad	SAU	Male	1948-12-12	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	AL-BASSAM_AH.md		
AL-MANSOURI, Hazza Ali Abdan Khalfan	ARE	Male	1983-12-13	7.88	680499	0	1	0	2019-09-25T13:57:42Z	0.000245	35	Bachelors Degree in Aviation	Soyuz MS-15;Soyuz MS-12	7.88	5478016	00:00	international	AL-MANSOURI_HA.md		
AL-SAUD, Sultan bin Salman bin Abdulaziz	SAU	Male	1956-06-27	7.07	610732	0	1	0	1985-06-17T11:33:00Z	0.000220	28		STS-51G	7.07	4916392	00:00	international	AL-SAUD_SSA.md		
ALDRIN, Edwin 'Buzz'	USA	Male	1930-01-20	12.08	1043588	28926	2	4	1966-11-11T20:46:33Z	0.000603	36	BSc in mechanical engineering;ScD in astronautics	Gemini 12;Apollo 11	8.14	3500799	08:02	astronaut	ALDRIN_B.md		
ALEKSANDROV, Aleksandr Pavlovich	URS	Male	1943-02-20	309.75	26762639	20640	2	2	1983-06-27T09:12Z	0.009648	40	PhD spacecraft steering systems	Soyuz T-9;Soyuz TM-3	160.30	215439243	05:44	cosmonaut	ALEKSANDROV_AP.md		
ALEKSANDROV, Aleksandr Panayatov 'Sasha'	BGR	Male	1951-12-01	9.84	850160	0	1	0	1988-06-07T14:03:13Z	0.000306	36		Soyuz TM-5;Soyuz TM-4	9.84	6843788	00:00	international	ALEKSANDROV_APS.md		
ALEKSEYEV, Vladimir Borisovich	URS	Male	1933-08-19	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ALEKSEYEV_VB.md		
ALLEN, Andrew M.	USA	Male	1955-08-04	37.68	3255188	0	3	0	1992-07-31T13:56:48Z	0.001174	36	BSc in mechanical engineering	STS-46;STS-62;STS-75	15.74	26204263	00:00	astronaut	ALLEN_AM.md		
ALLEN, Joseph P.	USA	Male	1937-06-27	13.08	1130364	42120	2	2	1982-11-11T12:19Z	0.000408	45	BA in mathematics and physics;PhD in physics	STS-5;STS-51-A	7.99	9099430	11:42	astronaut	ALLEN_JP.md		
ALTMAN, Scott D.	USA	Male	1959-08-15	50.54	4366232	0	4	0	1998-04-17T18:19Z	0.001574	38	BSc in aeronautical & astronautical engineering;MSc in aeronautical engineering	STS-90;STS-106;STS-109;STS-125	15.91	35148167	00:00	astronaut	ALTMAN_SD.md		
AMELKINA, Galina Vasiliyevna	URS	Male	1954-05-22	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	AMELKINA_GV.md		
ANDERSON, Clayton C.	USA	Male	1959-02-23	166.88	14418628	137880	2	6	2007-06-08T23:38:04Z	0.005198	48	BSc in physics;MSc in aerospace engineering	STS-117;STS-120;STS-131	151.77	116069955	38:18	astronaut	ANDERSON_CC.md		Astro_Clay
ANDERSON, Michael P.	USA	Male	1959-12-25	24.76	2138925	0	2	0	1998-01-23T02:48:15Z	0.000771	38	MSc in physics	STS-89;STS-107	15.93	17218346	00:00	astronaut	ANDERSON_MP.md		
ANDERS, William A.	USA	Male	1933-10-17	6.13	529243	0	1	0	1968-12-21T12:51Z	0.000362	35	BSc in nuclear engineering;MSc in nuclear engineering	Apollo 8	6.13	760000	00:00	astronaut	ANDERS_WA.md		
ANDREYEV, Boris Dmitriyevich	URS	Male	1940-10-06	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ANDREYEV_BD.md		
ANDRYUSHKOV, Aleksandr Stepanovich	URS	Male	1947-10-06	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ANDRYUSHKOV_AS.md		
ANIKEYEV, Ivan Nikolayevich	URS	Male	1933-02-12	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ANIKEYEV_IN.md		
ANOKHIN, Sergei Nikolayevich	URS	Male	1910-04-01	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ANOKHIN_SN.md		
ANSARI, Anousheh	USA;IRN	Female	1966-09-22	10.88	939960	0	1	0	2006-09-18T04:08Z	0.000339	39	BSc in electrical engineering and computer science;MSc	Soyuz TMA-9;Soyuz TMA-8	10.88	7566678	00:00	commercial tourist	ANSARI_A.md		
ANTONELLI, Dominic	USA	Male	1967-08-23	24.58	2124019	0	2	0	2009-03-15T23:43Z	0.000766	41	BSc in aeronautics & astronautics;MSc in aeronautics & astronautics	STS-119;STS-132	12.81	17098352	00:00	astronaut	ANTONELLI_D.md		
APT, Jerome	USA	Male	1949-04-18	35.30	3049962	36780	4	2	1991-04-05T14:22:45Z	0.001100	41	BA in physics;PhD in physics	STS-37;STS-47;STS-59;STS-79	11.24	24552194	10:13	astronaut	APT_J.md		
ARCHAMBAULT, Lee J.	USA	Male	1960-08-25	26.65	2302954	0	2	0	2007-06-08T23:38:04Z	0.000830	46		STS-117;STS-119	13.84	18538779	00:00	astronaut	ARCHAMBAULT_LJ.md		
ARMSTRONG, Neil A.	USA	Male	1930-08-05	8.58	741603	9126	2	1	1966-03-16T16:41:02Z	0.000494	35	BSc in aeronautical engineering;MSc in aerospace engineering	Gemini 8;Apollo 11	8.14	1069820	02:32	astronaut	ARMSTRONG_NA.md		
ARNOLD, Richard R., II	USA	Male	1963-11-26	209.56	18106320	115440	2	5	2009-03-15T23:43Z	0.006528	45	BSc in accounting;MSc in marine, estuarine and environmental science	STS-119;Soyuz MS-08	196.75	145755876	32:04	astronaut	ARNOLD_RRII.md		
ARTEMYEV, Oleg Germanovich	RUS	Male	1970-12-28	365.96	31619197	73200	2	3	2014-03-25T21:17:23Z	0.011399	43		Soyuz TMA-12M;Soyuz MS-08	196.75	254534535	20:20	cosmonaut	ARTEMYEV_OG.md		
ARTSEBARSKY, Anatoli Pavlovich	URS	Male	1956-09-09	144.64	12496911	116220	1	6	1991-05-18T12:50:28Z	0.004505	34		Soyuz TM-12	144.64	100600133	32:17	cosmonaut	ARTSEBARSKY_AP.md		
ARTYUKHIN, Yuri Petrovich	URS	Male	1930-06-22	15.73	1359029	0	1	0	1974-07-03T18:51:08Z	0.000490	44		Soyuz 14	15.73	10940183	00:00	cosmonaut	ARTYUKHIN_YP.md		
ARZAMAZOV, German Semyonovich	URS	Male	1946-03-09	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ARZAMAZOV_GS.md		
ASHBY, Jeffrey S.	USA	Male	1954-06-16	27.68	2391600	0	3	0	1999-07-23T04:31Z	0.000862	45	BSc in mechanical engineering;MSc in aviation systems	STS-93;STS-100;STS-112	11.90	19252380	00:00	astronaut	ASHBY_JS.md		
ATKOV, Oleg Yuriyevich	URS	Male	1949-05-09	236.95	20472634	0	1	0	1984-02-08T12:07:26Z	0.007381	34	Doctorate of medicine in cardiology	Soyuz T-10;Soyuz T-11	236.95	164804703	00:00	cosmonaut	ATKOV_OY.md		
AUBAKIROV, Toktar Ongarbayevich	URS;KAZ	Male	1946-07-27	7.93	684761	0	1	0	1991-10-02T05:59:38Z	0.000247	45		Soyuz TM-13;Soyuz TM-12	7.93	5512326	00:00	cosmonaut	AUBAKIROV_TO.md		
AU&Ntilde;&Oacute;N-CHANCELLOR, Serena M.	USA	Male	1976-04-09	197.24	17041800	0	1	0	2018-06-06T11:12Z	0.006144	42	BSc in electrical engineering;Doctor of Medicine	Soyuz MS-09	197.24	137186490	00:00	astronaut	AUNON_SM.md		AstroSerena
AVDEYEV, Sergei Vasiliyevich	URS	Male	1956-01-01	747.59	64592052	151200	3	10	1992-07-27T06:08:42Z	0.023286	36		Soyuz TM-15;Soyuz TM-22;Soyuz TM-28;Soyuz TM-29	379.62	519966018	42:00	cosmonaut	AVDEYEV_SV.md		
AYMAKHANOV, Mukhtar Rabatovich	KAZ	Male	1967-01-01	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	AYMAKHANOV_MR.md		
BABERDIN, Valeri Vasiliyevich	URS	Male	1948-10-28	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BABERDIN_VV.md		
BABKIN, Andrei Nikolayevich	RUS	Male	1969-04-21	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BABKIN_AN.md		
BACHURIN, Ivan Ivanovich	URS	Male	1942-01-29	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BACHURIN_II.md		
BAGIAN, James P.	USA	Male	1952-02-22	14.08	1216393	0	2	0	1989-03-13T14:57Z	0.000439	37	BSc in mechanical engineering;Doctor of Medicine	STS-29;STS-40	9.09	9791963	00:00	astronaut	BAGIAN_JP.md		
BAKER, Ellen S. (M.D.)	USA	Female	1953-04-27	28.61	2471615	0	3	0	1989-10-18T16:53:40Z	0.000891	36	BA in geology;Doctor of Medicine	STS-34;STS-50;STS-71	13.81	19896500	00:00	astronaut	BAKER_ES.md		
BAKER, Michael A.	USA	Male	1953-10-27	40.13	3467045	0	4	0	1991-08-02T15:01:59Z	0.001250	37	BSc in aerospace engineering	STS-43;STS-52;STS-68;STS-81	11.24	27909712	00:00	astronaut	BAKER_MA.md		
BALANDIN, Aleksandr Nikolayevich	URS	Male	1953-07-30	179.05	15470278	38820	1	2	1990-02-11T06:16Z	0.005577	36		Soyuz TM-9	179.05	124535737	10:47	cosmonaut	BALANDIN_AN.md		
BARRATT, Michael R.	USA	Male	1959-04-16	211.49	18272913	18360	2	2	2009-03-26T11:49:18Z	0.006588	49	BSc in zoology;MSc in aerospace medicine;Doctor of Medicine	Soyuz TMA-14;STS-133	198.70	147096949	05:06	astronaut	BARRATT_MR.md		
BARRY, Daniel T. (M.D.)	USA	Male	1953-12-30	30.60	2644092	135180	3	6	1996-01-11T09:41Z	0.000953	42	BSc in electrical engineering;Doctor of Medicine	STS-72;STS-96;STS-105	11.88	21284940	37:33	astronaut	BARRY_DT.md		
BARTOE, John-David F.	USA	Male	1944-11-17	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	40	BSc in physics;PhD in physics	STS-51-F	7.95	5528152	00:00	astronaut	BARTOE_J-DF.md		
BASSETT II, Charles A.	USA	Male	1931-12-30	0.00	0	0	0	0		0.000000	0	BSc in electrical engineering		0.00	0	00:00	astronaut	BASSETT_IICA.md		
BATALLI-COSMOVICI, Cristiano	ITA	Male	1943-06-02	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	BATALLI-COSMOVICI_C.md		
BATURIN, Yuri Mikhailovich	RUS	Male	1949-06-12	19.74	1705543	0	2	0	1998-08-13T09:43:11Z	0.000615	49	Doctorate in law	Soyuz TM-28;Soyuz TM-27;Soyuz TM-32;Soyuz TM-31	11.82	13729621	00:00	cosmonaut	BATURIN_YM.md		
BAUDRY, Patrick Pierre Roger	FRA	Male	1946-03-06	7.07	610732	0	1	0	1985-06-17T11:33:00Z	0.000220	39		STS-51G	7.07	4916392	00:00	international	BAUDRY_PPR.md		
BEAN, Alan L.	USA	Male	1932-03-15	69.66	6018327	37578	2	3	1969-11-14T16:22Z	0.002454	37	BSc in aeronautical engineering	Apollo 12;Skylab 3	59.46	42118823	10:26	astronaut	BEAN_AL.md		
BEHNKEN, Robert L., (Ph.D.)	USA	Male	1970-07-28	93.49	8077599	216600	3	10	2008-03-11T06:28:14Z	0.002912	37	BSc in physics & mechanical engineering;PhD in mechanical engineering	STS-123;STS-130;SpaceX-DM2	63.98	65024671	60:10	astronaut	BEHNKEN_RL.md		
BELLA, Ivan	SVK	Male	1964-05-25	7.91	683790	0	1	0	1999-02-20T04:18:01Z	0.000247	34		Soyuz TM-29;Soyuz TM-28	7.91	5504509	00:00	international	BELLA_I.md		
BELOBORODOV, Valeri Mikhailovich	URS	Male	1939-10-26	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BELOBORODOV_VM.md		
BELOUSOV, Boris Nikolayevich	URS	Male	1930-07-24	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BELOUSOV_BN.md		
BELYAYEV, Pavel Ivanovich	URS	Male	1925-06-26	1.08	93738	0	1	0	1965-03-18T07:00Z	0.000034	39		Voskhod 2	1.08	754590	00:00	cosmonaut	BELYAYEV_PI.md		
BENDEROV, Vladimir Nikolayevich	URS	Male	1924-08-04	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BENDEROV_VN.md		
BEREGOVOY, Georgi Timofeyevich	URS	Male	1921-04-15	3.95	341446	0	1	0	1968-10-26T08:34:18Z	0.000123	47	PhD in physics	Soyuz 3	3.95	2748640	00:00	cosmonaut	BEREGOVOY_GT.md		
BEREZOVOY, Anatoli Nikolayevich	URS	Male	1942-04-11	211.38	18263072	9180	1	1	1982-05-13T09:58:05Z	0.006584	40		Soyuz T-5;Soyuz T-7	211.38	147017729	02:33	cosmonaut	BEREZOVOY_AN.md		
BEZOS, Jeffrey Preston 'Jeff'	USA	Male	1964-01-12	0.01	559	0	1	0	2021-07-20T13:12Z	0.000000	57	BSc in Engineering in electrical engineering and computer science	New Shepard 4	0.01	4499	00:00	commercial tourist	BEZOS_JP.md		
BEZOS, Mark	USA	Male	1968-05-17	0.01	559	0	1	0	2021-07-20T13:12Z	0.000000	53		New Shepard 4	0.01	4499	00:00	commercial tourist	BEZOS_M.md		
BHAT, Nagapathi Chidambar	IND	Male	1948-01-01	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	BHAT_NC.md		
BIN KHALEED, Faiz	MYS	Male	1980-09-15	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	BIN KHALEED_F.md		
BINNIE, Brian	USA	Male	1953	0.02	1800	0	1	0	2004-10-04T14:49:00Z	0.000001	51	BSc aerospace engineering;MSc fluid mechanics and thermodynamics;MSc aeronautical engineering	SS1 17P	0.02	14490	00:00	commercial	BINNIE_B.md		
BLAHA, John E.	USA	Male	1942-08-26	161.12	13920532	0	5	0	1989-03-13T14:57Z	0.005019	46	BSc in engineering science;MSc in astronautical engineering	STS-29;STS-33;STS-43;STS-58;STS-79;STS-81	128.23	112060282	00:00	astronaut	BLAHA_JE.md		
BLINOV, Oleg Vladimirovich	RUS	Male	1978-08-17	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BLINOV_OV.md		
BLOOMFIELD, Michael J.	USA	Male	1959-03-16	32.46	2804600	0	3	0	1997-09-26T02:34:19Z	0.001011	38	BSc in engineering mechanics	STS-86;STS-97;STS-110	10.83	22577030	00:00	astronaut	BLOOMFIELD_MJ.md		
BLUFORD, Guion S., Jr	USA	Male	1942-11-22	28.69	2478918	0	4	0	1983-08-30T06:32Z	0.000894	40	BSc in aerospace engineering;PhD in aerospace engineering	STS-8;STS-61-A;STS-39;STS-53	8.31	19955289	00:00	astronaut	BLUFORD_GSJ.md		
BOBKO, Karol J.	USA	Male	1937-12-23	16.09	1389826	0	3	0	1983-04-04T18:30Z	0.000501	45	MSc in aerospace engineering	STS-6;STS-51-D;STS-51-J	7.00	11188099	00:00	astronaut	BOBKO_KJ.md		
BOE, Eric A.	USA	Male	1964-10-01	28.65	2475351	0	2	0	2008-11-15T00:55Z	0.000892	44	BSc in aeronautical engineering;MSc in electrical engineering	STS-126;STS-133	15.85	19926575	00:00	astronaut	BOE_EA.md		
BOLDEN, Charles F., Jr.	USA	Male	1946-08-19	28.36	2450383	0	4	0	1986-01-12T11:55Z	0.000883	39	BSc in electrical science;MSc in systems management	STS-61-C;STS-31;STS-45;STS-60	8.92	19725583	00:00	astronaut	BOLDEN_CFJ.md		
BONDARENKO, Valentin Vasiliyevich	URS	Male	1937-02-16	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BONDARENKO_VV.md		
BONDAR, Roberta Lynn	CAN	Female	1945-12-04	8.05	695685	0	1	0	1992-01-22T14:52:33Z	0.000251	46		STS-42	8.05	5600264	00:00	international	BONDAR_RL.md		
BORISENKO, Andrei Ivanovich	RUS	Male	1964-04-17	337.37	29149001	0	2	0	2011-04-04T22:18:20Z	0.010509	46		Soyuz TMA-21;Soyuz MS-02	173.14	234649458	00:00	cosmonaut	BORISENKO_AI.md		
BORMAN, Frank	USA	Male	1928-03-14	19.90	1719345	0	2	0	1965-12-04T19:30:03Z	0.000791	37	MSc in aeronautical engineering	Gemini 7;Apollo 8	13.77	10340321	00:00	astronaut	BORMAN_F.md		
BORODAY, Aleksei Sergeyevich	URS	Male	1947-07-28	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BORODAY_AS.md		
BORODIN, Aleksandr Viktorovich	URS	Male	1953-03-03	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BORODIN_AV.md		
BOWEN, Stephen G.	USA	Male	1964-02-13	40.42	3492310	170280	3	7	2008-11-15T00:55Z	0.001259	44	BSc in electrical engineering;MSc in Ocean Engineering	STS-126;STS-132;STS-133	15.85	28113095	47:18	astronaut	BOWEN_SG.md		
BOWERSOX, Kenneth D.	USA	Male	1956-11-14	212.59	18368002	47820	5	2	1992-06-25T16:12:23Z	0.006622	35	BSc in aerospace engineering;MSc in mechanical engineering	STS-50;STS-61;STS-73;STS-82;STS-113;Soyuz TMA-1	162.05	147862416	13:17	astronaut	BOWERSOX_KD.md		
BOYLE, Anthony Hugh	GBR	Male	1941-01-18	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	BOYLE_AH.md		
BRADY, Charles E., Jr.	USA	Male	1951-08-12	16.91	1460911	0	1	0	1996-06-20T14:49Z	0.000527	44	Doctor of Medicine	STS-78	16.91	11760333	00:00	astronaut	BRADY_CEJ.md		
BRANDENSTEIN, Daniel C.	USA	Male	1943-01-17	32.96	2847954	0	4	0	1983-08-30T06:32Z	0.001027	40	BSc in mathematics & physics	STS-8;STS-51-G;STS-32;STS-49	10.88	22926029	00:00	astronaut	BRANDENSTEIN_DC.md		
BRAND, Vance D.	USA	Male	1931-05-09	31.09	2685812	0	4	0	1975-07-15T19:50:00Z	0.001221	44	BSc in aeronautical engineering	Apollo-Soyuz (Apollo);STS-5;STS-41-B;STS-35	9.06	16078602	00:00	astronaut	BRAND_VD.md		
BRESNIK, Randolph J.	USA	Male	1967-09-11	151.51	13090322	115260	2	5	2009-11-16T19:28:09Z	0.004719	42	BA in mathematics;MSc in aviation systems	STS-129;Soyuz MS-05	140.71	105377092	32:01	astronaut	BRESNIK_RJ.md		
BRIDGES, Roy D., Jr.	USA	Male	1943-07-19	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	42	MSc in astronautics	STS-51-F	7.95	5528152	00:00	astronaut	BRIDGES_RDJ.md		
BROWN, Curtis L., Jr.	USA	Male	1956-03-11	57.63	4979328	0	6	0	1992-09-12T14:23Z	0.001795	36	BSc in electrical engineering	STS-47;STS-66;STS-77;STS-85;STS-95;STS-103	11.85	40083590	00:00	astronaut	BROWN_CLJ.md		
BROWN, David M.	USA	Male	1956-04-16	15.93	1376400	0	1	0	2003-01-16T15:39Z	0.000496	46	BSc in biology;Doctor of Medicine	STS-107	15.93	11080020	00:00	astronaut	BROWN_DM.md		
BROWN, Mark N.	USA	Male	1951-11-18	10.39	898068	0	2	0	1989-08-08T12:37Z	0.000324	37	BSc in aeronautical & astronautical engineering;MSc in astronautical engineering	STS-28;STS-48	5.35	7229447	00:00	astronaut	BROWN_MN.md		
BRüMMER, Renate Luise	DEU	Male	1987-08-03	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	BRUMMER_RL.md		
BUCHLI, James F.	USA	Male	1945-06-20	20.43	1765487	0	4	0	1985-01-24T19:50Z	0.000636	39	BSc in aeronautical engineering;MSc in aeronautical engineering systems	STS-51-C;STS-61-A;STS-29;STS-48	7.03	14212170	00:00	astronaut	BUCHLI_JF.md		
BUCKEY, Jay Clark	USA	Male	1956-06-06	15.91	1374660	0	1	0	1998-04-17T18:19Z	0.000496	41		STS-90	15.91	11066013	00:00	astronaut	BUCKEY_JC.md		
BUDARIN, Nikolai Mikhailovich	URS	Male	1953-04-29	445.06	38453164	161160	3	8	1995-06-27T19:32:19Z	0.013863	42	Diploma in mechanical engineering	STS-71;Soyuz TM-21;Soyuz TM-27;STS-113;Soyuz TMA-1	207.54	309547970	44:46	cosmonaut	BUDARIN_NM.md		
BUGROV, Vladimir Yevgrafovich	URS	Male	1933-01-18	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BUGROV_VY.md		
BUI, Thanh Liem	VNM	Male	1949-06-30	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	BUI_TL.md		
BULL, John S.	USA	Male	1934-09-25	0.00	0	0	0	0		0.000000	0	BSc in mechanical engineering;MSc in aeronautical engineering		0.00	0	00:00	astronaut	BULL_JS.md		
BURBANK, Daniel C.	USA	Male	1961-07-27	187.91	16235326	25860	3	1	2000-09-08T12:45:47Z	0.005853	39	BSc in electrical engineering;MSc in aeronautical science	STS-106;STS-115;Soyuz TMA-22	165.31	130694374	07:11	astronaut	BURBANK_DC.md		AstroCoastie
BURDAYEV, Mikhail Nikolayevich	URS	Male	1932-08-27	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BURDAYEV_MN.md		
BURSCH, Daniel W.	USA	Male	1957-07-25	226.93	19606605	42360	4	2	1993-09-12T11:45Z	0.007068	36	BSc in physics;MSc in engineering science	STS-51;STS-68;STS-77;STS-108;STS-111	195.82	157833170	11:46	astronaut	BURSCH_DW.md		
BUYNOVSKY, Eduard Ivanovich	URS	Male	1936-02-26	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	BUYNOVSKY_EI.md		
BYKOVSKY, Valeri Fyodorovich	URS	Male	1934-08-02	20.74	1792165	0	3	0	1963-06-14T11:58:58Z	0.000646	28	Diploma in engineering;Doctorate	Vostok 5;Soyuz 22;Soyuz 31;Soyuz 29	7.91	14426928	00:00	cosmonaut	BYKOVSKY_VF.md		
CABANA, Robert D.	USA	Male	1949-01-23	37.95	3278569	0	4	0	1990-10-06T11:47:15Z	0.001182	41	BSc in mathematics	STS-41;STS-53;STS-65;STS-88	14.75	26392480	00:00	astronaut	CABANA_RD.md		
CAGLE, Yvonne D., (M.D.)	USA	Male	1959-04-24	0.00	0	0	0	0		0.000000	0	BA in biochemistry;Doctor of Medicine		0.00	0	00:00	astronaut	CAGLE_YD.md		
CALDEIRO, Fernando	USA	Male	1958-06-12	0.00	0	0	0	0		0.000000	0	BSc in mechanical engineering;MSc in engineering management		0.00	0	00:00	astronaut	CALDEIRO_F.md		
CALDWELL (Dyson), Tracy E.	USA	Female	1969-08-14	188.80	16312539	82140	2	3	2007-08-08T22:36:42Z	0.005881	37	BSc in chemistry;PhD in physical chemistry	STS-118;Soyuz TMA-18	176.05	131315938	22:49	astronaut	CALDWELL_TE.md		
CAMARDA, Charles J.	USA	Male	1952-05-08	13.90	1200743	0	1	0	2005-07-26T14:39Z	0.000433	53	BSc in aerospace engineering;MSc in engineering science;PhD in aerospace engineering	STS-114	13.90	9665981	00:00	astronaut	CAMARDA_CJ.md		
CAMERON, Kenneth D.	USA	Male	1949-11-29	23.42	2023910	0	3	0	1991-04-05T14:22:45Z	0.000730	41	MSc in aeronautics & astronautics from MIT Graduated	STS-37;STS-56;STS-74	9.26	16292475	00:00	astronaut	CAMERON_KD.md		
CAREY, Duane G.	USA	Male	1957-04-30	10.92	943869	0	1	0	2002-03-01T11:22:02Z	0.000340	44	BSc in aerospace engineering & mechanics;MSc in aerospace engineering	STS-109	10.92	7598145	00:00	astronaut	CAREY_DG.md		
CARPENTER, M. Scott	USA	Male	1925-05-01	0.21	17766	0	1	0	1962-05-24T12:45:16Z	0.000006	37	BSc in aeronautical engineering	Mercury-Atlas 7	0.21	143016	00:00	astronaut	CARPENTER_MS.md		
CARR, Gerald P.	USA	Male	1932-08-22	84.05	7262131	56940	1	3	1973-11-16T14:01:23Z	0.002618	41	BSc in aeronautical engineering;MSc in aeronautical engineering;ScD in aeronautical engineering	Skylab 4	84.05	58460154	15:49	astronaut	CARR_GP.md		
CARTER, Manley Lanier, Jr., 'Sonny'	USA	Male	1947-08-15	5.00	432407	0	1	0	1989-11-23T00:23:30Z	0.000156	42	BA in chemistry from Emory University Doctor of Medicine;Doctor of Medicine	STS-33	5.00	3480876	00:00	astronaut	CARTER_MLJ.md		
CASPER, John H.	USA	Male	1943-07-09	34.41	2973222	0	4	0	1990-02-28T07:50:22Z	0.001072	46	BSc in engineering science;MSc in astronautics	STS-36;STS-54;STS-62;STS-77	13.97	23934437	00:00	astronaut	CASPER_JH.md		
CASSIDY, Christopher J.	USA	Male	1970-01-04	377.60	32624914	193860	3	10	2009-07-15T22:03Z	0.011762	39	BSc in mathematics;MSc in Ocean Engineering	STS-127;Soyuz TMA-08M;Soyuz MS-16	195.64	262630557	53:51	astronaut	CASSIDY_CJ.md		
CENKER, Robert	USA	Male	1948-11-05	6.09	525832	0	1	0	1986-01-12T11:55Z	0.000190	37		STS-61-C	6.09	4232947	00:00	astronaut	CENKER_R.md		
