Key,Explanation
Be*,Be Star
BS*,Blue Straggler Star
RG*,Red Giant Branch star
AB*,Asymptotic Giant Branch Star
C*,Carbon Star
S*,S Star
sg*,Red supergiant star
pA*,Post-AGB Star
WD*,White Dwarf
ZZ*,Pulsating White Dwarf
LM*,Low-mass star (M<1solMass)
BD*,Brown Dwarf (M<0.08solMass)
OH*,Star with envelope of OH/IR type
CH*,Star with envelope of CH type
pr*,Pre-main sequence Star (optically detected)
TT*,T Tau-type Star
WR*,Wolf-Rayet Star
PM*,High proper-motion Star
HV*,High-velocity Star
V*,Variable Star
Ir*,Variable Star of irregular type
Or*,Variable Star of Orion Type
RI*,Variable Star with rapid variations
Er*,Eruptive variable Star
Fl*,Flare Star
FU*,Variable Star of FU Ori type
RC*,Variable Star of R CrB type
Ro*,Rotationally variable Star
a2*,Variable Star of alpha2 CVn type
El*,Ellipsoidal variable Star
Psr,Pulsar
BY*,Variable of BY Dra type
RS*,Variable of RS CVn type
Pu*,Pulsating variable Star
RR*,Variable Star of RR Lyr type
Ce*,Cepheid variable Star
dS*,Variable Star of delta Sct type
RV*,Variable Star of RV Tau type
WV*,Variable Star of W Vir type
bC*,Variable Star of beta Cep type
cC*,Classical Cepheid (delta Cep type)
gD*,Variable Star of gamma Dor type
SX*,Variable Star of SX Phe type (subdwarf)
LP*,Long-period variable star
Mi*,Variable Star of Mira Cet type
sr*,Semi-regular pulsating Star
SN*,SuperNova
Sy*,Symbiotic Star
su*,Sub-stellar object
Pl?,Extra-solar Planet Candidate
G,Galaxy
PoG,Part of a Galaxy
GiC,Galaxy in Cluster of Galaxies
BiC,Brightest galaxy in a Cluster (BCG)
GiG,Galaxy in Group of Galaxies
GiP,Galaxy in Pair of Galaxies
HzG,Galaxy with high redshift
ALS,Absorption Line system
LyA,Ly alpha Absorption Line system
DLA,Damped Ly-alpha Absorption Line system
mAL,metallic Absorption Line system
LLS,Lyman limit system
BAL,Broad Absorption Line system
rG,Radio Galaxy
H2G,HII Galaxy
LSB,Low Surface Brightness Galaxy
AG?,Possible Active Galaxy Nucleus
Q?,Possible Quasar
Bz?,Possible Blazar
BL?,Possible BL Lac
EmG,Emission-line galaxy
SBG,Starburst Galaxy
BCG,Blue compact Galaxy
LeI,Gravitationally Lensed Image
LeG,Gravitationally Lensed Image of a Galaxy
LeQ,Gravitationally Lensed Image of a Quasar
AGN,Active Galaxy Nucleus
LIN,LINER-type Active Galaxy Nucleus
SyG,Seyfert Galaxy
Sy1,Seyfert 1 Galaxy
Sy2,Seyfert 2 Galaxy
Bla,Blazar
BLL,BL Lac - type object
OVV,Optically Violently Variable object
QSO,Quasar
S0,Lenticular Galaxy
SB,Barred Galaxy
S..,Spiral Galaxy
E,Elliptical Galaxy
SA0,Ring Galaxy
Irr,Irregular Galaxy
d,Dwarf Galaxy
