Name	Country	Gender	Date of Birth	Time in Space (days)	Time in Space (s)	EVA Time (s)	Number of Launches	Number of EVAs	First Launch	Time dilation (s)	Age at first launch (yr)	Qualifications	Missions	Longest single trip (days)	Total distance covered (km)	EVA (hh:mm)	Type
ANSARI, Anousheh	USA;IRN	Female	1966-09-22	0.00	0	0	2	0	2006-09-18T04:08Z	0.000000	39		Soyuz TMA-9;Soyuz TMA-9;Soyuz TMA-9;Soyuz TMA-8;Soyuz TMA-8;Soyuz TMA-8;Soyuz TMA-8	0.00	0	00:00	
ANTONELLI, Dominic	USA	Male	1967-08-23	24.58	2124019	0	2	0	2009-03-15T23:43Z	0.000766	41		STS-119;STS-119;STS-119;STS-132;STS-132;STS-132;STS-132	12.81	17098352	00:00	
APT, Jerome	USA	Male	1949-04-18	35.30	3049962	38940	4	1	1991-04-05T14:22:45Z	0.001100	41		STS-37;STS-37;STS-37;STS-47;STS-47;STS-47;STS-59;STS-59;STS-59;STS-79;STS-79;STS-79;STS-79	11.24	24552194	10:49	
ARCHAMBAULT, Lee J.	USA	Male	1960-08-25	26.65	2302894	0	2	0	2007-06-08T23:38:04Z	0.000830	46		STS-117;STS-117;STS-117;STS-119;STS-119;STS-119;STS-119	13.84	18538296	00:00	
ARMSTRONG, Neil A.	USA	Male	1930-08-05	8.58	741603	9060	2	1	1966-03-16T16:41:02Z	0.000494	35		Gemini 8;Gemini 8;Gemini 8;Apollo 11;Apollo 11;Apollo 11;Apollo 11	8.14	1069820	02:31	
ARNOLD, Richard R., II	USA	Male	1963-11-26	12.81	1107060	45240	1	1	2009-03-15T23:43Z	0.000399	45		STS-119;STS-119;STS-119;STS-119	12.81	8911833	12:34	
ARTEMYEV, Oleg Germanovich	RUS	Male	1970-12-28	169.21	14619937	45240	1	2	2014-03-25T21:17:23Z	0.005271	43		Soyuz TMA-12M;Soyuz TMA-12M;Soyuz TMA-12M;Soyuz TMA-12M	169.21	117690492	12:34	
ARTSEBARSKY, Anatoli Pavlovich	URS	Male	1956-09-09	144.64	12496911	115080	1	6	1991-05-18T12:50:28Z	0.004505	34		Soyuz TM-12;Soyuz TM-12;Soyuz TM-12;Soyuz TM-12	144.64	100600133	31:58	
ARTYUKHIN, Yuri Petrovich	URS	Male	1930-06-22	15.73	1359029	0	1	0	1974-07-03T18:51:08Z	0.000490	44		Soyuz 14;Soyuz 14;Soyuz 14;Soyuz 14	15.73	10940183	00:00	
ARZAMAZOV, German Semyonovich	URS	Male	1946-03-09	0.00	0	0	0	0		0.000000	0		Soyuz 14	0.00	0	00:00	
ASHBY, Jeffrey S.	USA	Male	1954	27.68	2391600	0	3	0	1999-07-23T04:31Z	0.000862	0		STS-93;STS-93;STS-93;STS-100;STS-100;STS-100;STS-112;STS-112;STS-112;STS-112	11.90	19252380	00:00	
ATKOV, Oleg Yuriyevich	URS	Male	1949-05-09	0.00	0	0	2	0	1984-02-08T12:07:26Z	0.000000	34		Soyuz T-10;Soyuz T-10;Soyuz T-10;Soyuz T-11;Soyuz T-11;Soyuz T-11;Soyuz T-11	0.00	0	00:00	
AUBAKIROV, Toktar Ongarbayevich	URS;KAZ	Male	1946-07-27	0.00	0	0	2	0	1991-10-02T05:59:38Z	0.000000	45		Soyuz TM-13;Soyuz TM-13;Soyuz TM-13;Soyuz TM-12;Soyuz TM-12;Soyuz TM-12;Soyuz TM-12	0.00	0	00:00	
AUNON, Serena M.	USA	Male	1976-04-09	0.00	0	0	0	0		0.000000	0		Soyuz TM-12	0.00	0	00:00	
AVDEYEV, Sergei Vasiliyevich	URS	Male	1956-01-01	367.97	31792982	147600	4	8	1992-07-27T06:08:42Z	0.011462	36		Soyuz TM-15;Soyuz TM-15;Soyuz TM-15;Soyuz TM-22;Soyuz TM-22;Soyuz TM-22;Soyuz TM-28;Soyuz TM-28;Soyuz TM-28;Soyuz TM-29;Soyuz TM-29;Soyuz TM-29;Soyuz TM-29	188.90	255933505	41:00	
AYMAKHANOV, Mukhtar Rabatovich	KAZ	Male	1967-01-01	0.00	0	0	0	0		0.000000	0		Soyuz TM-29	0.00	0	00:00	
BABERDIN, Valeri Vasiliyevich	URS	Male	1948-10-28	0.00	0	0	0	0		0.000000	0		Soyuz TM-29	0.00	0	00:00	
BABKIN, Andrei Nikolayevich	RUS	Male	1969-04-21	0.00	0	0	0	0		0.000000	0		Soyuz TM-29	0.00	0	00:00	
BACHURIN, Ivan Ivanovich	URS	Male	1942-01-29	0.00	0	0	0	0		0.000000	0		Soyuz TM-29	0.00	0	00:00	
BAGIAN, James P.	USA	Male	1952-02-22	14.08	1216393	0	2	0	1989-03-13T14:57Z	0.000439	37		STS-29;STS-29;STS-29;STS-40;STS-40;STS-40;STS-40	9.09	9791963	00:00	
BAKER, Ellen S. (M.D.)	USA	Female	1953-04-27	28.61	2471615	0	3	0	1989-10-18T16:53:40Z	0.000891	36		STS-34;STS-34;STS-34;STS-50;STS-50;STS-50;STS-71;STS-71;STS-71;STS-71	13.81	19896500	00:00	
BAKER, Michael A.	USA	Male	1953-10-27	40.13	3467045	0	4	0	1991-08-02T15:01:59Z	0.001250	37		STS-43;STS-43;STS-43;STS-52;STS-52;STS-52;STS-68;STS-68;STS-68;STS-81;STS-81;STS-81;STS-81	11.24	27909712	00:00	
BALANDIN, Aleksandr Nikolayevich	URS	Male	1953-07-30	179.05	15470278	38220	1	2	1990-02-11T06:16Z	0.005577	36		Soyuz TM-9;Soyuz TM-9;Soyuz TM-9;Soyuz TM-9	179.05	124535737	10:37	
BARRATT, Michael R.	USA	Male	1959-04-16	211.49	18272853	17640	2	1	2009-03-26T11:49:18Z	0.006588	49		Expedition 19/20 on Soyuz;Expedition 19/20 on Soyuz;Expedition 19/20 on Soyuz;STS-133;STS-133;STS-133;STS-133	198.70	147096466	04:54	
BARRY, Daniel T. (M.D.)	USA	Male	1953-12-30	30.60	2644092	92940	3	1	1996-01-11T09:41Z	0.000953	42		STS-72;STS-72;STS-72;STS-96;STS-96;STS-96;STS-105;STS-105;STS-105;STS-105	11.88	21284940	25:49	
BARTOE, John-David F.	USA	Male	1944-11-17	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	40		STS-51-F;STS-51-F;STS-51-F;STS-51-F	7.95	5528152	00:00	
BASSETT II, Charles A.	USA	Male	1931-12-30	0.00	0	0	0	0		0.000000	0		STS-51-F	0.00	0	00:00	
BATALLI-COSMOVICI, Cristiano	ITA	Male	1943-06-02	0.00	0	0	0	0		0.000000	0		STS-51-F	0.00	0	00:00	
BATURIN, Yuri Mikhailovich	RUS	Male	1949-06-12	0.00	0	0	4	0	1998-08-13T09:43:11Z	0.000000	49		Soyuz TM-28;Soyuz TM-28;Soyuz TM-28;Soyuz TM-27;Soyuz TM-27;Soyuz TM-27;Soyuz TM-32;Soyuz TM-32;Soyuz TM-32;Soyuz TM-31;Soyuz TM-31;Soyuz TM-31;Soyuz TM-31	0.00	0	00:00	
BAUDRY, Patrick Pierre Roger	FRA	Male	1946-03-06	0.00	0	0	1	0		0.000000	0		STS-51G;STS-51G;STS-51G;STS-51G	0.00	0	00:00	
BEAN, Alan L.	USA	Male	1932-03-15	69.66	6018327	37560	2	1	1969-11-14T16:22Z	0.002454	37		Apollo 12;Apollo 12;Apollo 12;Skylab 3;Skylab 3;Skylab 3;Skylab 3	59.46	42118823	10:26	
BEHNKEN, Robert L., (Ph.D.) 	USA	Male	1970-07-28	29.51	2550039	135180	2	1	2008-03-11T06:28:14Z	0.000919	37		STS-123;STS-123;STS-123;STS-130;STS-130;STS-130;STS-130	15.76	20527813	37:33	
BELLA, Ivan	SVK	Male	1964-05-25	0.00	0	0	2	0	1999-02-20T04:18:01Z	0.000000	34		Soyuz TM-29;Soyuz TM-29;Soyuz TM-29;Soyuz TM-28;Soyuz TM-28;Soyuz TM-28;Soyuz TM-28	0.00	0	00:00	
BELOBORODOV, Valeri Mikhailovich	URS	Male	1939-10-26	0.00	0	0	0	0		0.000000	0		Soyuz TM-28	0.00	0	00:00	
BELOUSOV, Boris Nikolayevich	URS	Male	1930-07-24	0.00	0	0	0	0		0.000000	0		Soyuz TM-28	0.00	0	00:00	
BELYAYEV, Pavel Ivanovich	URS	Male	1925-06-26	1.08	93738	0	1	0	1965-03-18T07:00Z	0.000034	39		Voskhod 2;Voskhod 2;Voskhod 2;Voskhod 2	1.08	754590	00:00	
BENDEROV, Vladimir Nikolayevich	URS	Male	1924-08-04	0.00	0	0	0	0		0.000000	0		Voskhod 2	0.00	0	00:00	
BEREGOVOY, Georgi Timofeyevich	URS	Male	1921-04-15	3.95	341446	0	1	0	1968-10-26T08:34:18Z	0.000123	47		Soyuz 3;Soyuz 3;Soyuz 3;Soyuz 3	3.95	2748640	00:00	
BEREZOVOY, Anatoli Nikolayevich	URS	Male	1942-04-11	0.00	0	9180	2	1	1982-05-13T09:58:05Z	0.000000	40		Soyuz T-5;Soyuz T-5;Soyuz T-5;Soyuz T-7;Soyuz T-7;Soyuz T-7;Soyuz T-7	0.00	0	02:33	
BHAT, Nagapathi Chidambar	IND	Male	1948-01-01	0.00	0	0	0	0		0.000000	0		Soyuz T-7	0.00	0	00:00	
BIN KHALEED, Faiz	MYS	Male	1980-09-15	0.00	0	0	0	0		0.000000	0		Soyuz T-7	0.00	0	00:00	
BLAHA, John E.	USA	Male	1942-08-26	32.89	2841589	0	6	0	1989-03-13T14:57Z	0.001024	46		STS-29;STS-29;STS-29;STS-33;STS-33;STS-33;STS-43;STS-43;STS-43;STS-58;STS-58;STS-58;STS-79;STS-79;STS-79;STS-81;STS-81;STS-81;STS-81	14.01	22874791	00:00	
BLINOV, Oleg Vladimirovich	RUS	Male	1978-08-17	0.00	0	0	0	0		0.000000	0		STS-81	0.00	0	00:00	
BLOOMFIELD, Michael J.	USA	Male	1959-03-16	32.46	2804600	0	3	0	1997-09-26T02:34:19Z	0.001011	38		STS-86;STS-86;STS-86;STS-97;STS-97;STS-97;STS-110;STS-110;STS-110;STS-110	10.83	22577030	00:00	
BLUFORD, Guion S., Jr	USA	Male	1942-11-22	28.69	2478918	0	4	0	1983-08-30T06:32Z	0.000894	40		STS-8;STS-8;STS-8;STS-61-A;STS-61-A;STS-61-A;STS-39;STS-39;STS-39;STS-53;STS-53;STS-53;STS-53	8.31	19955289	00:00	
BOBKO, Karol J.	USA	Male	1937-12-23	16.09	1389826	0	3	0	1983-04-04T18:30Z	0.000501	45		STS-6;STS-6;STS-6;STS-51-D;STS-51-D;STS-51-D;STS-51-J;STS-51-J;STS-51-J;STS-51-J	7.00	11188099	00:00	
BOE, Eric A.	USA	Male	1964-10-01	28.65	2475351	0	2	0	2008-11-15T00:55Z	0.000892	44		STS-126;STS-126;STS-126;STS-133;STS-133;STS-133;STS-133	15.85	19926575	00:00	
BOLDEN, Charles F., Jr. 	USA	Male	1946-08-19	28.36	2450383	0	4	0	1986-01-12T11:55Z	0.000883	39		STS-61-C;STS-61-C;STS-61-C;STS-31;STS-31;STS-31;STS-45;STS-45;STS-45;STS-60;STS-60;STS-60;STS-60	8.92	19725583	00:00	
BONDARENKO, Valentin Vasiliyevich	URS	Male	1937-02-16	0.00	0	0	0	0		0.000000	0		STS-60	0.00	0	00:00	
BONDAR, Roberta Lynn	CAN	Female	1945-12-04	8.05	695685	0	1	0	1992-01-22T14:52:33Z	0.000251	46		STS-42;STS-42;STS-42;STS-42	8.05	5600264	00:00	
BORISENKO, Andrei Ivanovich	RUS	Male	1964-04-17	164.24	14190080	0	1	0	2011-04-04T22:18:20Z	0.005116	46		Soyuz TMA-21;Soyuz TMA-21;Soyuz TMA-21;Soyuz TMA-21	164.24	114230144	00:00	
BORMAN, Frank	USA	Male	1928-03-14	19.90	1719345	0	2	0	1965-12-04T19:30:03Z	0.000791	37		Gemini 7;Gemini 7;Gemini 7;Apollo 8;Apollo 8;Apollo 8;Apollo 8	13.77	10340321	00:00	
BORODAY, Aleksei Sergeyevich	URS	Male	1947-07-28	0.00	0	0	0	0		0.000000	0		Apollo 8	0.00	0	00:00	
BORODIN, Aleksandr Viktorovich	URS	Male	1953-03-03	0.00	0	0	0	0		0.000000	0		Apollo 8	0.00	0	00:00	
BOWEN, Stephen G.	USA	Male	1964-02-13	40.42	3492310	170280	3	1	2008-11-15T00:55Z	0.001259	44		STS-126;STS-126;STS-126;STS-132;STS-132;STS-132;STS-133;STS-133;STS-133;STS-133	15.85	28113095	47:18	
BOWERSOX, Kenneth D.	USA	Male	1956-11-14	50.54	4366724	47820	6	1	1992-06-25T16:12:23Z	0.001574	35		STS-50;STS-50;STS-50;STS-61;STS-61;STS-61;STS-73;STS-73;STS-73;STS-82;STS-82;STS-82;STS-113;STS-113;STS-113;Soyuz TMA-1;Soyuz TMA-1;Soyuz TMA-1;Soyuz TMA-1	15.91	35152128	13:17	
BOYLE, Anthony Hugh	GBR	Male	1941-01-18	0.00	0	0	0	0		0.000000	0		Soyuz TMA-1	0.00	0	00:00	
BRADY, Charles E., Jr.	USA	Male	1951-08-12	16.91	1460911	0	1	0	1996-06-20T14:49Z	0.000527	44		STS-78;STS-78;STS-78;STS-78	16.91	11760333	00:00	
BRANDENSTEIN, Daniel C.	USA	Male	1943-01-17	32.96	2847954	0	4	0	1983-08-30T06:32Z	0.001027	40		STS-8;STS-8;STS-8;STS-51-G;STS-51-G;STS-51-G;STS-32;STS-32;STS-32;STS-49;STS-49;STS-49;STS-49	10.88	22926029	00:00	
BRAND, Vance D.	USA	Male	1931-05-09	22.02	1902932	0	4	0	1982-11-11T12:19Z	0.000686	51		ASTP;ASTP;ASTP;STS-5;STS-5;STS-5;STS-41-B;STS-41-B;STS-41-B;STS-35;STS-35;STS-35;STS-35	8.96	15318602	00:00	
BRESNIK, Randolph J.	USA	Male	1967-09-11	10.80	933374	42600	1	1	2009-11-16T19:28:09Z	0.000336	42		STS-129;STS-129;STS-129;STS-129	10.80	7513660	11:50	
BRIDGES, Roy D., Jr.	USA	Male	1943-07-19	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	42		STS-51-F;STS-51-F;STS-51-F;STS-51-F	7.95	5528152	00:00	
BROWN, Curtis L., Jr.	USA	Male	1956-03-11	57.63	4979328	0	6	0	1992-09-12T14:23Z	0.001795	36		STS-47;STS-47;STS-47;STS-66;STS-66;STS-66;STS-77;STS-77;STS-77;STS-85;STS-85;STS-85;STS-95;STS-95;STS-95;STS-103;STS-103;STS-103;STS-103	11.85	40083590	00:00	
BROWN, David M.	USA	Male	1956-04-16	15.93	1376400	0	1	0	2003-01-16T15:39Z	0.000496	46		STS-107;STS-107;STS-107;STS-107	15.93	11080020	00:00	
BROWN, Mark N.	USA	Male	1951-11-18	10.39	898068	0	2	0	1989-08-08T12:37Z	0.000324	37		STS-28;STS-28;STS-28;STS-48;STS-48;STS-48;STS-48	5.35	7229447	00:00	
BRüMMER, Renate Luise	DEU	Male	1987-08-03	0.00	0	0	0	0		0.000000	0		STS-48	0.00	0	00:00	
BUCHLI, James F.	USA	Male	1945-06-20	20.43	1765487	0	4	0	1985-01-24T19:50Z	0.000636	39		STS-51-C;STS-51-C;STS-51-C;STS-61-A;STS-61-A;STS-61-A;STS-29;STS-29;STS-29;STS-48;STS-48;STS-48;STS-48	7.03	14212170	00:00	
BUCKEY, Jay Clark	USA	Male	1956-06-06	15.91	1374660	0	1	0	1998-04-17T18:19Z	0.000496	41		STS-90;STS-90;STS-90;STS-90	15.91	11066013	00:00	
BUDARIN, Nikolai Mikhailovich	URS	Male	1953-04-29	207.54	17931063	159900	5	8	1995-06-27T19:32:19Z	0.006464	42		STS-71;STS-71;STS-71;Soyuz TM-21;Soyuz TM-21;Soyuz TM-21;Soyuz TM-27;Soyuz TM-27;Soyuz TM-27;STS-113;STS-113;STS-113;Soyuz TMA-1;Soyuz TMA-1;Soyuz TMA-1;Soyuz TMA-1	207.54	144345057	44:25	
BUGROV, Vladimir Yevgrafovich	URS	Male	1933-01-18	0.00	0	0	0	0		0.000000	0		Soyuz TMA-1	0.00	0	00:00	
BUI, Thanh Liem	VNM	Male	1949-06-30	0.00	0	0	0	0		0.000000	0		Soyuz TMA-1	0.00	0	00:00	
BULL, John S.	USA	Male	1934-09-25	0.00	0	0	0	0		0.000000	0		Soyuz TMA-1	0.00	0	00:00	
BURBANK, Daniel C.	USA	Male	1961-07-27	187.91	16235326	25860	3	1	2000-09-08T12:45:47Z	0.005853	39		STS-106;STS-106;STS-106;STS-115;STS-115;STS-115;Soyuz TMA-22;Soyuz TMA-22;Soyuz TMA-22;Soyuz TMA-22	165.31	130694374	07:11	
BURDAYEV, Mikhail Nikolayevich	URS	Male	1932-08-27	0.00	0	0	0	0		0.000000	0		Soyuz TMA-22	0.00	0	00:00	
BURSCH, Daniel W.	USA	Male	1957-07-25	31.11	2687848	42480	5	1	1993-09-12T11:45Z	0.000969	36		STS-51;STS-51;STS-51;STS-68;STS-68;STS-68;STS-77;STS-77;STS-77;STS-108;STS-108;STS-108;STS-111;STS-111;STS-111;STS-111	11.24	21637176	11:48	
BUYNOVSKY, Eduard Ivanovich	URS	Male	1936-02-26	0.00	0	0	0	0		0.000000	0		STS-111	0.00	0	00:00	
BYKOVSKY, Valeri Fyodorovich	URS	Male	1934-08-02	12.88	1112420	0	4	0	1963-06-14T11:58:58Z	0.000401	28		Vostok 5;Vostok 5;Vostok 5;Soyuz 22;Soyuz 22;Soyuz 22;Soyuz 31;Soyuz 31;Soyuz 31;Soyuz 29;Soyuz 29;Soyuz 29;Soyuz 29	7.91	8954981	00:00	
CABANA, Robert D. 	USA	Male	1949-01-23	37.95	3278569	0	4	0	1990-10-06T11:47:15Z	0.001182	41		STS-41;STS-41;STS-41;STS-53;STS-53;STS-53;STS-65;STS-65;STS-65;STS-88;STS-88;STS-88;STS-88	14.75	26392480	00:00	
CAGLE, Yvonne D., (M.D.) 	USA	Male	1959-04-24	0.00	0	0	0	0		0.000000	0		STS-88	0.00	0	00:00	
CALDEIRO, Fernando	USA	Male	1958-06-12	0.00	0	0	0	0		0.000000	0		STS-88	0.00	0	00:00	
CALDWELL (Dyson), Tracy E.	USA	Female	1969-08-14	188.80	16312539	82140	2	1	2007-08-08T22:36:42Z	0.005881	37		STS-118;STS-118;STS-118;Soyuz TMA-18;Soyuz TMA-18;Soyuz TMA-18;Soyuz TMA-18	176.05	131315938	22:49	
CAMARDA, Charles J.	USA	Male	1952-05-08	13.90	1200743	0	1	0	2005-07-26T14:39Z	0.000433	53		STS-114;STS-114;STS-114;STS-114	13.90	9665981	00:00	
CAMERON, Kenneth D.	USA	Male	1949-11-29	23.42	2023910	0	3	0	1991-04-05T14:22:45Z	0.000730	41		STS-37;STS-37;STS-37;STS-56;STS-56;STS-56;STS-74;STS-74;STS-74;STS-74	9.26	16292475	00:00	
CAREY, Duane G.	USA	Male	1957-04-30	10.92	943869	0	1	0	2002-03-01T11:22:02Z	0.000340	44		STS-109;STS-109;STS-109;STS-109	10.92	7598145	00:00	
CARPENTER, M. Scott	USA	Male	1925-05-01	0.21	17766	0	1	0	1962-05-24T12:45:16Z	0.000006	37		Mercury-Atlas 7;Mercury-Atlas 7;Mercury-Atlas 7;Mercury-Atlas 7	0.21	143016	00:00	
CARR, Gerald P.	USA	Male	1932-08-22	84.05	7262131	56880	1	1	1973-11-16T14:01:23Z	0.002618	41		Skylab 4;Skylab 4;Skylab 4;Skylab 4	84.05	58460154	15:48	
CARTER, Manley Lanier, Jr., 'Sonny'	USA	Male	1947-08-15	5.00	432407	0	1	0	1989-11-23T00:23:30Z	0.000156	42		STS-33;STS-33;STS-33;STS-33	5.00	3480876	00:00	
CASPER, John H.	USA	Male	1943-07-09	34.41	2973222	0	4	0	1990-02-28T07:50:22Z	0.001072	46		STS-36;STS-36;STS-36;STS-54;STS-54;STS-54;STS-62;STS-62;STS-62;STS-77;STS-77;STS-77;STS-77	13.97	23934437	00:00	
CASSIDY, Christopher J.	USA	Male	1970-01-04	15.70	1356360	90420	1	3	2009-07-15T22:03Z	0.000489	39		STS-127;STS-127;STS-127;STS-127	15.70	10918698	25:07	
CENKER, Robert	USA	Male	1948-11-05	6.09	525832	0	1	0	1986-01-12T11:55Z	0.000190	37		STS-61-C;STS-61-C;STS-61-C;STS-61-C	6.09	4232947	00:00	
CERNAN, Eugene A.	USA	Male	1934-03-14	23.59	2038575	87060	3	1	1966-06-03T13:39:33Z	0.001309	32		Gemini 9;Gemini 9;Gemini 9;Apollo 10;Apollo 10;Apollo 10;Apollo 17;Apollo 17;Apollo 17;Apollo 17	12.58	3616630	24:11	
CHAFFEE, Roger B.	USA	Male	1935-02-15	0.00	0	0	0	0		0.000000	0		Apollo 17	0.00	0	00:00	
CHAMITOFF, Gregory E.	USA	Male	1962-08-06	15.74	1359572	49380	4	1	2008-05-31T21:02:12Z	0.000490	45		Expedition 17/18: STS-124(up) / STS-126 Endeavour(down);Expedition 17/18: STS-124(up) / STS-126 Endeavour(down);Expedition 17/18: STS-124(up) / STS-126 Endeavour(down);STS-124;STS-124;STS-124;STS-126;STS-126;STS-126;STS-134;STS-134;STS-134;STS-134	15.74	10944554	13:43	
CHANG-DIAZ, Franklin R.	USA	Male	1950-04-05	66.76	5768333	70260	7	1	1986-01-12T11:55Z	0.002080	35		STS-61-C;STS-61-C;STS-61-C;STS-34;STS-34;STS-34;STS-46;STS-46;STS-46;STS-60;STS-60;STS-60;STS-75;STS-75;STS-75;STS-91;STS-91;STS-91;STS-111;STS-111;STS-111;STS-111	15.74	46435080	19:31	
CHAPMAN, Philip K.	USA	Male	1935-03-05	0.00	0	0	0	0		0.000000	0		STS-111	0.00	0	00:00	
CHAWLA, Kalpana	USA	Female	1961-07-01	31.62	2732100	0	2	0	1997-11-19T19:46Z	0.000985	36		STS-87;STS-87;STS-87;STS-107;STS-107;STS-107;STS-107	15.93	21993405	00:00	
CHELI, Maurizio	ITA	Male	1959-05-04	15.74	1359623	0	1	0	1996-02-22T20:18Z	0.000490	36		STS-75;STS-75;STS-75;STS-75	15.74	10944965	00:00	
CHEN, Dong	CHN	Male		0.00	0	0	0	0		0.000000	0		STS-75	0.00	0	00:00	
