Asteroid name,Reason for name,Category
(25677) Aaronenten,"Aaron Christopher Enten (b. 1991) was awarded second place in the 2009 Intel International Science and Engineering Fair for his materials and bioengineering project.  He attends the American Heritage School Plantation, Plantation, Florida, U.S.A.","education:person;"
(11451) Aarongolden,"Aaron Golden (b. 1969), of the National University of Ireland, Galway, works in the field of high-time resolution astrophysics  and image processing.  He participated in the discovery of optical pulsations from two pulsars.","science:person;"
(23113) Aaronhakim,"Aaron Hakim (b. 1991) was awarded second place in the 2007 Intel International Science and Engineering Fair for his cellular and molecular biology project.  He attends the Appleby College, Oakville, Ontario, Canada.","education:person;"
(12553) Aaronritter,"Aaron M. Ritter (b. 1986) is a finalist in the 2002 Intel International Science and Engineering Fair for his earth and space sciences project.  He attends the Bedford-North Lawrence High School, Williams, Indiana, U.S.A.","education:person;"
(13928) Aaronrogers,"Aaron Rogers (1905-1989) taught mathematics at Emanuel School, London, from 1937 to 1970. His kindness to the discoverer exemplified a caring man of strong character.","education:person;"
(21933) Aaronrozon,"Aaron Alexander Rozon (b. 1992) is a finalist in the 2005 Discovery Channel Young Scientist Challenge (DCYSC), a middle school science competition, for his environmental sciences project.  He attends the Kapa'a Middle School, Kapaa, Hawaii.","education:person;"
(29812) Aaronsolomon,"Aaron Chu Solomon (b. 1994) was awarded second place in the 2013 Intel International Science and Engineering Fair for his environmental management project.  He attends the Eleanor Roosevelt High School, Greenbelt, Maryland, U.S.A.","education:person;"
(3277) Aaronson,"",""
(9836) Aarseth,"Norwegian-born astronomer Sverre J. Aarseth (b. 1934), of the Institute of Astronomy, Cambridge, developed a unique set of  n -body codes and used them for studying gravitational systems, such as globular clusters and merging galaxies, where encounters and collisions are important. The name was suggested by E. M. Standish.","science:person;"
(2366) Aaryn,"",""
(864) Aase,"",""
(2678) Aavasaksa,"",""
(4466) Abai,"",""
(2722) Abalakin,"",""
(1581) Abanderada,"",""
(3480) Abante,"",""
(4263) Abashiri,"",""
(1390) Abastumani,"",""
(5224) Abbe,"",""
(17023) Abbott,"Bud Abbott (1897-1974) was the gravely-voiced straight man of the Abbott and Costello comedy duo.  Together they were masters of the straight man-funny man relationship.","tv:person;"
(249010) Abdel-Samad,"Hamed Abdel-Samad (b. 1972) is an Egyptian political scientist whose satirical German TV series "Safary through Germany" has initiated a broad national discussion.","tv:person;"
(15262) Abderhalden,"Swiss physiologist Emil Abderhalden (1877-1950) lectured at the University of Halle during 1911-1945.  He contributed more than 1000 articles to the physiologic chemistry of metabolism, created the  basis of modern dietetics, discovered the defensive enzymes against  exogenous proteins and promoted social welfare.","science:person;"
(22638) Abdulla,"Almas Ugurgizi Abdulla (b. 1993) is a finalist in the 2006 Discovery Channel Young Scientist Challenge (DCYSC), a middle school science competition, for her mathematics project.  She attends the Stone Middle School, Melbourne, Florida.","education:person;"
(21483) Abdulrasool,"Ameen Abdulrasool (b. 1987) was awarded first place and Best in Category in the 2005 Intel International Science and Engineering Fair for his behavioral and social sciences project.  He also received the Intel Young Scientist Award and the Seaborg SIYSS Award.  He attends the Lane Technical High School, Chicago, Illinois, U.S.A.","education:person;"
(294600) Abedinabedin,"Abedin Y. Abedin (b. 1982) is a good friend of the first discoverer.  He is currently a doctoral student at the University of Western Ontario.","education:person;"
(5379) Abehiroshi,"Named in honor of Hiroshi Abe (b. 1958), a resident of Shimane. Discoverer of numerous minor planets at Yatsuka Observatory since 1993, he is also an active confirmer of new objects in collaboration with S. Nakano.","science:person;"
(25410) Abejar,"Patrick Jeffrey Abejar (b. 1991) is a finalist in the 2009 Intel Science Talent Search (STS), a science competition for high school seniors, for his earth and planetary science project.  He attends the Smithtown High School West, Smithtown, New York.","education:person;"
(7428) Abekuniomi,"Abe Kuniomi (b. 1941) is an expert photographer of the Moon's surface and planets, who has taught his observing technique to amateurs.  He invented the binocular measurement system, Wink comparator, which was used to discover minor planets at Oohira.","science:person;"
(3449) Abell,"",""
(28829) Abelsky,"Julia Beth Abelsky (b. 1994) was awarded second place in the 2013 Intel International Science and Engineering Fair for her materials and bioengineering project.  She attends the North Springs Charter High School, Sandy Springs, Georgia, U.S.A.","education:person;"
(8926) Abemasanao,"Masanao Abe (b. 1967) is a planetary scientist at the Institute of Space and Astronautical Science. A contributor to small-body science, he is principal investigator for the near-infrared spectrometer on board the MUSES-C Hayabusa spacecraft, which aims for the world's first sample return from a minor planet.","science:person;"
(13624) Abeosamu,"Japanese amateur astronomer Osamu Abe (b. 1950) is by profession a researcher on snow and ice.  He discovered comet C/1970 N1 from Shinjo, Yamagata prefecture.","science:person;"
(5677) Aberdonia,"",""
(12787) Abetadashi,"Tadashi Abe (b. 1943), a Japanese amateur astronomer, taught high school from 1966 to 2004.  He poured his considerable observational talents into the field of astronomical photometry, producing a number of scientific papers and a thesis based on his discoveries.","science:person;"
(2646) Abetti,"",""
(9172) Abhramu,"Abhramu, the "cloud-knitter", was the original female elephant who was a supernatural winged being who could change her shape at will, like the clouds that resemble her children.  According to Indian legend, Abhramu's tribe lost its wings and magic by mischance.","literature;"
(21411) Abifraeman,"Abigail Ann Fraeman (b. 1987) is a finalist in the 2005 Intel Science Talent Search, a science competition for high school seniors, for her materials science project.  She attends the Montgomery Blair High School, Silver Spring, Maryland.","education:person;"
(15559) Abigailhines,"Named in honor of Abigail M. Hines for achievement as a finalist in the 2001 Discovery Young Scientist Challenge (DYSC), a middle school science competition.  Abigail is a student at the Orchard Day Home School, Ft. Wayne, Indiana.","education:person;"
(25422) Abigreene,"Abigail Sara Greene (b. 1991) is a finalist in the 2009 Intel Science Talent Search (STS), a science competition for high school seniors, for her behavioral and social sciences project.  She attends the John Jay High School, Cross River, New York.","education:person;"
(24838) Abilunon,"Abilunon is the presumed name of an ancient Celtic town, founded in the first century B.C. on a strategic peninsula in the Vltava river.  The remains of the town are at the foot of Klet mountain.  The name was mentioned on a map of the world by Ptolemy.","geographic:location;"
(2671) Abkhazia,"",""
(5175) Ables,"",""
(456) Abnoba,"",""
(19488) Abramcoley,"Abram Levi Coley (b. 1984) was awarded fourth place in the 2003 Intel International Science and Engineering Fair for his physics project.  He attends the Big Sky High School, Missoula, Montana, U.S.A.","education:person;"
(9532) Abramenko,"",""
(3409) Abramov,"",""
(24520) Abramson,"Ronit Batya Roth Abramson (b. 1991) was awarded second place in the 2008 Intel International Science and Engineering Fair for her environmental sciences project.  She attends the Canyon Crest Academy, San Diego, California, U.S.A.","education:person;"
(21850) Abshir,"Iftin Mohamed Abshir (b. 1990) is a finalist in the 2005 Discovery Channel Young Scientist Challenge (DCYSC), a middle school science competition, for her biochemistry, medicine, health, &amp; microbiology project.  She attends the Littleton Academy, Littleton, Colorado.","education:person;"
(6805) Abstracta,"",""
(9423) Abt,"Helmut Abt (b. 1925) is one of the founders of Kitt Peak National Observatory and is known for his fundamental studies of stellar characteristics, multiple stars and publication practices.  As editor-in-chief, Abt shepherded the <i>Astrophysical Journal</i> into the current electronic age.","science:person;"
(28831) Abu-Alshaikh,"Salahaldeen Ibrahim Abu-Alshaikh (b. 1997) was awarded second place in the 2013 Intel International Science and Engineering Fair for his mathematical sciences project.  He attends the Jubilee School, Amman, Jordan.","education:person;"
(23768) Abu-Rmaileh,"Muhammad Akef Abu-Rmaileh (b. 1994) is a finalist in the 2007 Discovery Channel Young Scientist Challenge (DCYSC), a middle school science competition, for his botany and zoology project.  He attends the Lisa Academy, Little Rock, Arkansas.","education:person;"
(23587) Abukumado,"Abukumado is a limestone cave in eastern Fukushima prefecture containing many awe-inspiring mysterious creations of nature.  "Takinegoten", one of the largest cave halls in the East, displays unique stalactites such as crystal curtains and cave coral.","geographic:location;"
(79152) Abukumagawa,"Abukumagawa River originates in Mt. Kashi-Asahidake.  It runs south to north through Fukushima and Miyagi prefectures, winding its way through the major cities in central Fukushima prefecture, before flowing into the Pacific Ocean.","geographic:location;"
(16413) Abulghazi,"During 1643-1663 the historian Abulghazi Bahadur (1603-1663) ruled the khanate of Khorezm (now Uzbekistan).  A copy of his writings on Mongols and Tatars fell into the hands of German naturalist D. G. Messerschmidt during a Siberian voyage and was published as <i>Histoire g&eacute;n&eacute;ralogique des Tatars</i> (Leiden, 1726).","other:person;"
(151) Abundantia,"",""
(8652) Acacia,"Named for Acacia, belonging to the family Mimosaceae.  Acacia mearnsii (mimosa) is a shrub with feathery leaves composed of many small leaflets.  The strongly scented tiny yellow flowers are grouped in loose, rounded clusters.","nature;"
(19524) Acaciacoleman,"Acacia Coleman is the granddaughter of the discoverer.","family:person;"
(829) Academia,"",""
(5547) Acadiau,"",""
(2594) Acamas,"",""
(6349) Acapulco,"Named for the city in Mexico, Acapulco is the international sister city of Sendai, Japan, affiliated since 1973.  Acapulco is a famous resort and well known as one of the three most beautiful ports in the world. Hasekura Tsunenaga, the retainer of the famous Japanese feudal lord Date Masamune, made a stop there after he crossed the Pacific Ocean on his way to Rome.","geographic:location;"
(8833) Acer,"Named for Aceraceae, the maple family, with two genera and more than 100 species.  One well-known species is Acer saccharum (sugar maple), the sap of which is used for maple syrup and maple sugar.","nature;"
(21501) Acevedo,"Tony Acevedo (b. 1950) is a multimedia graphic designer and media officer at the Arecibo Observatory.","other:person;"
(5126) Achaemenides,"",""
(1150) Achaia,"",""
(24121) Achandran,"Ashok Chandran (b. 1990) is a finalist in the 2008 Intel Science Talent Search (STS), a science competition for high school seniors, for his medicine and health project.  He attends the Smithtown High School East, Saint James, New York.","education:person;"
(5144) Achates,"",""
(588) Achilles,"",""
(117430) Achosyx,"The discovery of this minor planet, the first to be numbered from Rent-a-Scope Observatory---MPC observatory code H06---is a testament to the outstanding sky conditions at the observing site.","science:location;"
(9084) Achristou,"Apostolos Christou (b. 1968), research astronomer at Armagh Observatory, is a gifted dynamicist, programmer and observer.  His interests include minor planets co-orbital with Venus, the earth and (1) Ceres; meteors on Venus, the earth and Mars; NEA mission design; and the irregular satellite families of the outer planets.","science:person;"
(22191) Achucarro,"Joaqu&iacute; Ach&uacute;carro (b. 1932) is a distinguished concert pianist, admired teacher and mentor, with a performance career spanning over 50 years in more than 50 countries.","music:person;"
(6522) Aci,"Named for a river southeast of Mount Etna, and also honoring the many towns and villages along it that contain the name: Acicastello, Acitrezza, Acireale, Acibonaccorsi, Acicatena, Aci Sant'Antonio and Aci Santo Filippo.  The modern-day river evokes the myth of Aci (or Acis), the young Sicilian shepherd who was in love with Galatea, a Nereid. The jealous cyclops Polyphemus hurled a large rock and killed Aci, whose blood was transformed into an underground river that plunged into the Ionian Sea to hug his beloved Galatea.  Name proposed by the discoverer, following a suggestion by Carlo Blanco.","geographic:location;"
(12628) Ackworthorr,"Mary Ackworth Orr (1867-1949), wife of the solar physicist and Kodaikanal Observatory director John Evershed, in 1913 published a detailed study of the numerous astronomical allusions in the works of the Italian poet Dante Alighieri.  The name was suggested by R. H. van Gent.","literature:person;"
(1821) Aconcagua,"",""
(29747) Acorlando,"Abigail Claire Orlando (b. 1994) was awarded first place in the 2013 Intel International Science and Engineering Fair for her behavioral and social sciences project.  She attends the Eastchester High School, Eastchester, New York, U.S.A.","education:person;"
(18796) Acosta,"Iyen Abdon Acosta (b. 1986) was awarded third place in the 2003 Intel International Science and Engineering Fair for her environmental science project.  She attends the Oxon Hill High School, Oxon Hill, Maryland, U.S.A.","education:person;"
(28779) Acthieke,"Adrienne C. Thieke mentored a finalist in the 2013 Broadcom MASTERS, a math and science competition for middle school students. She teaches at the Abraham Lincoln Middle School, Gainesville, Florida.","education:person;"
(12238) Actor,"Actor was the alleged father of Cteatos and Eurytos, two Greek warriors who beat Nestor in the chariot race.","literature;"
(523) Ada,"",""
(7803) Adachi,"Makoto Adachi (b. 1953), an elementary school teacher in Kyoto, has continued regular visual observations of Jupiter and other planets since 1969.  He is also director of the Oriental Astronomical Association in charge of the association's activities.","education:person;"
(330) Adalberta,"",""
(232923) Adalovelace,"Augusta Ada King, Countess of Lovelace (1815-1852), daughter of George Gordon Byron, was an English mathematician and writer known mainly for her work on Babbage's analytical engine.  Her notes are important in the early history of computers, so she is considered the world's first computer programmer.","science:person;"
(6461) Adam,"Robert Adam (1728-1792) was a Scottish architect. The most famous member of an accomplished family of architects, Adam developed a style that led to a classical revival in architecture in Britain and influenced developments in Europe and North America.","art:person;"
(172525) Adamblock,"Adam Block (b. 1973) has helped popularize astronomy through public speaking and his masterful astronomical photographs.  A former coordinator of the public observing programs at Kitt Peak National Observatory, he has been named director of the astronomical activities at the new Mount Lemmon Science Center, near Tucson.","science:person;"
(28554) Adambowman,"Adam Joseph Bowman (b. 1995) is a finalist in the 2013 Intel Science Talent Search, a science competition for high-school seniors, for his engineering project.  He attends the Montgomery Bell Academy, Nashville, Tennessee.","education:person;"
(26737) Adambradley,"Adam Bradley Halverson (b. 1991) was awarded second place in the 2010 Intel International Science and Engineering Fair for his electrical- and mechanical-engineering project.  He attends the Garretson High School, Garretson, South Dakota, U.S.A.","education:person;"
(4535) Adamcarolla,"Adam Carolla (b. 1964) co-hosted Loveline, a syndicated radio program that has dispensed medical and relationship advice to millions of listeners for over 20 years.  Adam is a comedian who has also hosted numerous television programs and currently has his own morning radio show.  The name was suggested by T. Burbine.","tv:person;"
(13286) Adamchauvin,"Christiane Adam Chauvin (b. 1952), of Paris Observatory, is responsible for research relationships with the European Community. The name was suggested by M. Fulchignoni.","science:person;"
(10588) Adamcrandall,"Named in honor of the discoverer's stepson, Adam Crandall Rees (b. 1960).","family:person;"
(11685) Adamcurry,"Adam Michael Curry (b. 1984) is a finalist in the 2002 Intel International Science and Engineering Fair for his earth and space sciences project.  He attends the Palisade High School, Palisade, Colorado, U.S.A.","education:person;"
(23306) Adamfields,"Adam Chaplin Fields (b. 1990) was awarded first place in the 2007 Intel International Science and Engineering Fair for his medicine and health sciences team project.  He attends the Jericho High School, Jericho, New York, U.S.A.","education:person;"
(6146) Adamkrafft,"",""
(15421) Adammalin,"Adam Mikah Malin (b. 1985) was named a finalist in the 2003 Intel Science Talent Search, a science competition for high school seniors, for his behavioral and social sciences project.  He attends the Syosset High School, Syosset, New York.","education:person;"
(6537) Adamovich,"",""
(13434) Adamquade,"Adam Robert Quade (b. 1987) is a finalist in the 2002 Discovery Channel Young Scientist Challenge (DCYSC), a middle school science competition, for his biochemistry, medicine, health, and microbiology project.  He attends the St. John the Baptist School, New Brighton, Minnesota.","education:person;"
(7655) Adamries,"",""
(1996) Adams,"",""
(18142) Adamsidman,"Adam Daniel Sidman (b. 1988) was awarded second place in the 2003 Intel International Science and Engineering Fair for his engineering project.  He attends the William J. Palmer High School, Colorado Springs, Colorado, U.S.A.","education:person;"
(12838) Adamsmith,"Adam Smith (1723-1790), a key figure in the Scottish Enlightenment, is renowned for An Enquiry into the Nature and Causes of the Wealth of Nations (1767).  In this work he introduced the principle of the division of labor and suggested that self interest is the only way to reach socially beneficial results.","other:person;"
(22551) Adamsolomon,"Adam Ross Solomon (b. 1989) is a finalist in the 2006 Intel Science Talent Search (STS), a science competition for high school seniors, for his space science project.  He attends the John F. Kennedy High School, Bellmore, New York.","education:person;"
(18413) Adamspencer,"Adam Spencer (b. 1969) is an Australian mathematics communicator, television and radio presenter.  Spencer's career has moved from mathematics research to stand-up pure maths comedy and "The Sleek Geeks" science comedy duo.  He holds positions promoting the understanding and development of science.","tv:person;"
(20503) Adamtazi,"Adam Ryoma Tazi (b. 1990) is a finalist in the 2004 Discovery Channel Young Scientist Challenge (DCYSC), a middle school science competition, for his physical science project.  He attends the St. Andrew School, Orlando, Florida.","education:person;"
(18084) Adamwohl,"Adam Richard Wohl (b. 1984) was awarded second place in the 2003 Intel International Science and Engineering Fair for his botany project.  He attends the Minot High School, Magic City Campus, Minot, North Dakota, U.S.A.","education:person;"
(6757) Addibischoff,"Adolf Bischoff (b. 1955) is a professor at the Institut f&uuml;r Planetologie, Westf&auml;lische Wilhelms-Universit&auml;t M&uuml;nster.  His work on meteorites, particularly their impact history, has led to significant advances in our understanding of processes in minor planets.","science:person;"
(19444) Addicott,"Charles Michael Addicott (b. 1987) was awarded fourth place in the 2003 Intel International Science and Engineering Fair for his mathematics project.  He attends the Wellington High School, Wellington, Florida, U.S.A.","education:person;"
(27286) Adedmondson,"Adam Edmondson mentored a finalist in the 2011 Intel Science Talent Search, a science competition for high-school seniors.  He teaches at the Hazleton Area High School, Hazleton, Pennsylvania, U.S.A.","education;"
(525) Adelaide,"",""
(812) Adele,"",""
(647) Adelgunde,"",""
(276) Adelheid,"",""
(26386) Adelinacozma,"Adelina Corina Cozma (b. 1995) was awarded second place in the 2010 Intel International Science and Engineering Fair for her behavioral- and social-sciences project.  She attends the Bayview Secondary School, Richmond Hill, Ontario, Canada.","education:person;"
(229) Adelinda,"",""
(60001) Adelka,"Ad&eacute;lka Kotkov&aacute; (b. 2006) is the discoverer's daughter.","family:person;"
(145) Adeona,"",""
(25642) Adiseshan,"Tara Anjali Adiseshan (b. 1994) was awarded first place in the 2009 Intel International Science and Engineering Fair for her animal sciences project.  She also received the Intel Young Scientist Award.  She attends the Ramana Academy, Charlottesville, Virginia, U.S.A.","education:person;"
(4401) Aditi,"",""
(30175) Adityajain,"",""
(24238) Adkerson,"Timothy Adkerson mentored a finalist in the 2008 Intel Science Talent Search (STS), a science competition for high school seniors.  He teaches at the Jefferson City High School, Jefferson City, Missouri.","education:person;"
(11519) Adler,"Alfred Adler (1870-1937) was an Austrian psychiatrist who introduced the term "inferiority feeling" (inferiority complex) into psychology: mental health is characterized by reason and social interest, mental disorder by inferiority, self concern and superiority over others".  In 1934 the Austrian government closed his 30 clinics.","other:person;"
(398) Admete,"",""
(85030) Admetos,"Admetos was the father of Eumelos, the best charioteer in the Greek army.","literature;"
(17806) Adolfborn,"Czech painter and illustrator Adolf Born (b. 1930) is known for his murkily-tinted pictures of bizarre fauna, Victorian gentlemen in top hats and  topcoats and mysterious ladies with tall hairdos and plunging necklines.  His slightly surrealistic work, with its strong undertone of humor, is loved by  both children and adults.","art:person;"
(608) Adolfine,"",""
(20256) Adolfneckar,"Adolf Necka&#345; (1909-1995) built a public observatory in Prost&#283;jov, Moravia, from 1950 at a provisional site on the roof of the local school building and from 1961 in a separate building.  He was the observatory's director until 1971.  His main focus was drawing and photographing the planets.","science:person;"
(166570) Adolftrager,"Adolf Tr&auml;ger (1888-1965) was a Czech painter, known for landscape paintings of the countryside of South Bohemia and the historical towns of &#268;esk&eacute; Bud&#283;jovice and &#268;esk&yacute; Krumlov.  He was deeply concerned with preservation of historical buildings.","art:person;"
(2101) Adonis,"",""
(268) Adorea,"",""
(21029) Adorno,"Theodor W. Adorno (1903-1969), German philosopher and musicologist, was a leading figure in the Frankfurter Schule of critical theory.  Writings such as Dialectic of Enlightenment (1947) show him to be one of the 20th century's foremost thinkers on aesthetics and philosophy.","other:person;"
(239) Adrastea,"",""
(143) Adria,"",""
(820) Adriana,"",""
(21758) Adrianveres,"Adrian Veres (b. 1989) was awarded first place in the 2005 Intel International Science and Engineering Fair for his biochemistry project. He attends the Jean de Brebeuf College, Montreal, Quebec, Canada.","education:person;"
(6530) Adry,"Named in honor of Adriano Casulli (b. 1974), son of the discoverer.","family:person;"
(3646) Aduatiques,"",""
(23017) Advincula,"Rigoberto Advincula mentored a finalist in the 2007 Intel Science Talent Search (STS), a science competition for high school seniors.  He teaches at the Univeristy of Houston.","education;"
(1903) Adzhimushkaj,"",""
(10237) Adzic,"Vladislav Adzic (b. 1984) is a finalist in the 2002 Intel International Science and Engineering Fair for his computer science project.  He attends the Ward Melville High School, East Setauket, New York, U.S.A.","education:person;"
(15420) Aedouglass,"Andrew Ellicott Douglass (1867-1962) was an American astronomer and developer of dendochronology.  For Percival Lowell, he sited Lowell Observatory.  Later he directed the Steward Observatory at the University of Arizona and in 1923 dedicated the 0.9-m telescope, which became the Spacewatch telescope in 1983.","science:person;"
(91) Aegina,"",""
(96) Aegle,"",""
(2401) Aehlita,"",""
(159) Aemilia,"",""
(1155) Aenna,"",""
(10175) Aenona,"Located on the east coast of the Adriatic Sea, Aenona is the Roman name of the first capital of the old Croation kingdom, now the modern city of Nin.  The world's smallest cathedral, used as an observatory for establishing the local calendar, is located there.","geographic:location;"
(396) Aeolia,"",""
(264476) Aepic,"Aepic comes from "Amateurs Espace Pic", a French association of amateur astronomers that popularizes astronomy at the Pic du Midi Observatory.  Michel Hernandez, a St. Veran observer, is one of the founders of the association.","science:group;"
(369) Aeria,"",""
(2876) Aeschylus,"",""
(1027) Aesculapia,"",""
(12608) Aesop,"Herodotus Aisopos of Sardes (Aesop) was a slave who lived around 550 B.C. on the island of Samos.  The people loved his fine fables so much that he became a free man.  Aesop's fables are full of wisdom and have been translated into many languages.","literature:person;"
(446) Aeternitas,"",""
(132) Aethra,"",""
(1064) Aethusa,"",""
(1142) Aetolia,"",""
(22993) Aferrari,"Andrew Ferrari mentored a finalist in the 2007 Intel Science Talent Search (STS), a science competition for high school seniors.  He teaches at the Durham Academy Upper School, Durham, North Carolina.","education:person;"
(15467) Aflorsch,"Alphonse Florsch (b. 1929) was, for many years, the director of the Observatoire de Strasbourg.  A specialist in radial velocities in the Small Magellanic Cloud, he was also secretary of the Groupe d&acute;Alsace of the Soci&eacute;t&eacute; Astronomique de France for 20 years.  Now retired, he still continues to teach astronomy in schools.","science:person;"
(1187) Afra,"",""
(1193) Africa,"",""
(6391) Africano,"",""
(3326) Agafonikov,"",""
(14042) Agafonov,"Konstantin Vasil'evich Agafonov (1935-1997) was a well-known organizer of the electronic industry in Russia.  He led the creation of the powerful domestic computer "Elbrus" and of the first domestic personal computer "Agat".  During the 1990s he took an active part in the demilitarization of the Russian economy.","computing:person;"
(911) Agamemnon,"",""
(5023) Agapenor,"",""
(2267) Agassiz,"Named in memory of Jean Louis Rodolphe Agassiz (1807-1873), Swiss-born naturalist, later a professor at Harvard, where he was the leading U.S. opponent of Darwin; his son Alexander Agassiz (1835-1910), marine zoologist and oceanographer; and his grandson George Russell Agassiz (1862-1951), for many years a friend and benefactor of the Harvard Observatory and for whom the Agassiz Station is named.","science:person;"
(13185) Agasthenes,"Agasthenes was the son of legendary king Augeias. During the Third Battle he fell.","other:person;"
(221908) Agastrophus,"In Homer's Iliad, Agastrophus was a Paionian hero, famed for his spear, who fought with the Trojans in the Trojan War and who was killed by Diomedes.  Agastrophus was the son of Paeon and brother of Laophoon.","literature;"
(111570) Agasvar,"&Aacute;gasv&aacute;r is a 635-meter peak in the M&aacute;tra Mountains.  &Aacute;gasv&aacute;r hostel is the mountain station of Hungarian amateur astronomers, famous for its hospitality, homemade food and clear starry nights.","geographic:location;"
(7366) Agata,"Hidehiko Agata (b. 1961) is a staff member in the public information office of the National Astronomical Observatory of Japan.  His main interests are education and populiarization of astronomy, and he has published many books on elementary astronomy.  He has also studied cometary plasma tails.","education:person;"
(228) Agathe,"",""
(3862) Agekian,"",""
(4722) Agelaos,"",""
(2470) Agematsu,"",""
(1873) Agenor,"",""
(7137) Ageo,"Ageo is a city north of Tokyo in Saitama Prefecture.  The name was suggested by M. Sekine.","geographic:location;"
(27072) Aggarwal,"Amol Aggarwal (b. 1993) was a finalist in the 2011 Intel Science Talent Search, a science competition for high-school seniors, for his mathematical sciences project.  He attends the Saratoga High School, Saratoga, California, U.S.A.","education:person;"
(152533) Aggas,"Steven Aggas is an Arizona engineer in liquid crystal displays and light- emitting diodes holding 20 patents in the field.  As an amateur astronomer he has won awards for the construction of telescopes.  In 2010 he founded the Apache-Sitgreaves Center for Astrophysics, which is in northern Arizona.","science:person;"
(4392) Agita,"",""
(47) Aglaja,"",""
(641) Agnes,"",""
(118214) Agnesediboemia,"Agnese di Boemia (1211-1282), princess Ane&#382;ka of the P&#345;emyslid family, devoted her life to charity and religious works.  She was the founder of a hospital and two convents that were among the first Gothic buildings in Prague.  She was canonized in 1989.","other:person;"
(16765) Agnesi,"Maria Gaetana Agnesi (1718-1799) was the first woman in the western world who can properly be called a mathematician.  She wrote a treatise on algebra that was widely translated, and in 1750 she was appointed to a professorship at the University of Bologna.","science:person;"
(49109) Agnesraab,"Austrian amateur astronomer Agnes Raab (b. 1969) is a long-time member of the Linzer Astronomische Gemeinschaft.  The first prediscovery image of this minor planet was found on a plate exposed on her eighth birthday.","science:person;"
(847) Agnia,"",""
(12848) Agostino,"Agostino Boattini (b. 1932) is the father of the discoverer.","family:person;"
(9503) Agrawain,"Agrawain, brother of Gawain, was a knight of the Round Table.","literature;"
(3212) Agricola,"",""
(15372) Agrigento,"Agrigento, the old Greek city Akragas, was founded by the Greeks in 582 B.C.  One of the leading cities of the Mediterranean world, it demonstrates still its pride by preserving the remains of several Doric temples.  In 490 B.C. the great philosopher Empedocles was born there.","geographic:location;"
(645) Agrippina,"",""
(8241) Agrius,"Named after Agrius, a Greek from Aetolia and father of Thersites. Thersites was the ugliest Greek in Troy.","literature;"
(135978) Agueros,"Marcel Ag&uuml;eros (b. 1973) is a French-Puerto Rican astronomer and a contributor to the Sloan Digital Sky Survey.  Marcel has worked on a variety of problems in stellar astrophysics, including searching for isolated neutron stars and examining the age-rotation-activity relation in open clusters.","science:person;"
(1800) Aguilar,"",""
(744) Aguntina,"",""
